title,rating,year,actors,runtime,url
De belhamel,7.8,1944,Heinz Rühmann;Karin Himboldt;Hilde Sessak;Erich Ponto,97,https://www.imdb.com/title/tt0036818/
Ivan Groznyy,7.8,1944,Nikolay Cherkasov;Lyudmila Tselikovskaya;Serafima Birman;Mikhail Nazvanov,103,https://www.imdb.com/title/tt0037824/
Avontuur op Martinique,7.8,1944,Humphrey Bogart;Lauren Bacall;Walter Brennan;Dolores Moran,100,https://www.imdb.com/title/tt0037382/
Laura,8.0,1944,Gene Tierney;Dana Andrews;Clifton Webb;Vincent Price,88,https://www.imdb.com/title/tt0037008/
Double Indemnity,8.3,1944,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson;Byron Barr,107,https://www.imdb.com/title/tt0036775/
Roma città aperta,8.1,1945,Anna Magnani;Aldo Fabrizi;Marcello Pagliero;Vito Annichiarico,103,https://www.imdb.com/title/tt0038890/
A Tree Grows in Brooklyn,8.0,1945,Dorothy McGuire;Joan Blondell;James Dunn;Lloyd Nolan,129,https://www.imdb.com/title/tt0038190/
Les enfants du paradis,8.4,1945,Arletty;Jean-Louis Barrault;Pierre Brasseur;Pierre Renoir,189,https://www.imdb.com/title/tt0037674/
Mildred Pierce,8.0,1945,Joan Crawford;Jack Carson;Zachary Scott;Eve Arden,111,https://www.imdb.com/title/tt0037913/
Brief Encounter,8.0,1945,Celia Johnson;Trevor Howard;Stanley Holloway;Joyce Carey,86,https://www.imdb.com/title/tt0037558/
Een Zaak van Leven en Dood,8.1,1946,David Niven;Kim Hunter;Robert Coote;Kathleen Byron,104,https://www.imdb.com/title/tt0038733/
It's a Wonderful Life,8.6,1946,James Stewart;Donna Reed;Lionel Barrymore;Thomas Mitchell,130,https://www.imdb.com/title/tt0038650/
De schoenpoetsertjes,8.0,1946,Rinaldo Smordoni;Franco Interlenghi;Annielo Mele;Bruno Ortensi,87,https://www.imdb.com/title/tt0038913/
Notorious,8.0,1946,Cary Grant;Ingrid Bergman;Claude Rains;Louis Calhern,102,https://www.imdb.com/title/tt0038787/
De beste jaren van ons leven,8.1,1946,Myrna Loy;Dana Andrews;Fredric March;Teresa Wright,170,https://www.imdb.com/title/tt0036868/
Mrs. Muir ziet spoken,7.9,1947,Gene Tierney;Rex Harrison;George Sanders;Edna Best,104,https://www.imdb.com/title/tt0039420/
Quai des Orfèvres,7.8,1947,Louis Jouvet;Simone Renant;Bernard Blier;Suzy Delair,106,https://www.imdb.com/title/tt0039739/
Gangsters vergeten niet,8.0,1947,Robert Mitchum;Jane Greer;Kirk Douglas;Rhonda Fleming,97,https://www.imdb.com/title/tt0039689/
Miracle on 34th Street,7.9,1947,Edmund Gwenn;Maureen O'Hara;John Payne;Gene Lockhart,96,https://www.imdb.com/title/tt0039628/
Monsieur Verdoux,7.9,1947,Charles Chaplin;Mady Correll;Allison Roddan;Robert Lewis,124,https://www.imdb.com/title/tt0039631/
Brief van een onbekende vrouw,8.0,1948,Joan Fontaine;Louis Jourdan;Mady Christians;Marcel Journet,87,https://www.imdb.com/title/tt0040536/
The Treasure of the Sierra Madre,8.2,1948,Humphrey Bogart;Walter Huston;Tim Holt;Bruce Bennett,126,https://www.imdb.com/title/tt0040897/
The Red Shoes,8.1,1948,Anton Walbrook;Marius Goring;Moira Shearer;Robert Helpmann,135,https://www.imdb.com/title/tt0040725/
Rope,8.0,1948,James Stewart;John Dall;Farley Granger;Dick Hogan,80,https://www.imdb.com/title/tt0040746/
Ladri di biciclette,8.3,1948,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri,89,https://www.imdb.com/title/tt0040522/
The Third Man,8.1,1949,Orson Welles;Joseph Cotten;Alida Valli;Trevor Howard,104,https://www.imdb.com/title/tt0041959/
Kind Hearts and Coronets,8.0,1949,Dennis Price;Alec Guinness;Valerie Hobson;Joan Greenwood,106,https://www.imdb.com/title/tt0041546/
